setting,model,accuracy,macro_f1,train_time_seconds
original,Logistic Regression,0.9545300305395318,0.954373580087335,1.4300715000135824
original,SVM RBF,0.9541907024092298,0.9532663313587092,3.1695331999799237
pca_150,SVM RBF,0.9470648116728877,0.9459213955500521,0.7343765999830794
pca_150,Logistic Regression,0.9443501866304717,0.9436650504730105,1.3818820999877062
pca_100,SVM RBF,0.9395995928062436,0.9383693201956221,0.5220349000010174
pca_100,Logistic Regression,0.9338310145911096,0.9322590338160192,1.4797550000075717
original,Random Forest,0.9304377332880895,0.9282979930533529,7.948614000022644
pca_50,SVM RBF,0.9168646080760094,0.91569727553971,0.39122540000244044
pca_50,Logistic Regression,0.9151679674244995,0.9141407516208454,2.1848746000032406
pca_100,Random Forest,0.8876823888700374,0.8841964873041843,4.334084799978882
pca_150,Random Forest,0.8832711231761113,0.8788246935557051,5.716214999993099
pca_20,SVM RBF,0.8791991856124872,0.8776549600204842,0.24731139998766594
pca_20,Logistic Regression,0.8754665761791652,0.8736878010335904,3.5205108000081964
pca_50,Random Forest,0.8747879199185612,0.871287581205304,3.3437666000099853
pca_20,Random Forest,0.8557855446216491,0.8524667807400496,1.6938603000016883
pca_2,SVM RBF,0.5727858839497795,0.5543908466278126,0.7651208999741357
pca_2,Logistic Regression,0.5663386494740414,0.5190850703894784,0.8105443000094965
pca_2,Random Forest,0.5225653206650831,0.5187250224864902,1.0152359000057913
